Variable,Employment,Professional - Type of Employment,Measured_Unit,Country,Year,Value,Flag Codes,Flags
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",20 - Netherlands,2022,114426.27,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",24 - Iceland,2022,23306254.33,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",33 - Finland,2022,88664.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",37 - United Kingdom,2021,64900.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",37 - United Kingdom,2022,64900.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",41 - South Korea,2021,88478182.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",41 - South Korea,2022,88478182.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",44 - Israel,2022,268079.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",50 - Slovenia,2022,68733.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",55 - Spain,2010,59366.89,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",59 - Poland,2011,86289.98000000001,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",59 - Poland,2013,90515.72,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",59 - Poland,2015,98429.38,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",59 - Poland,2017,110418.16,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",59 - Poland,2019,130745.875,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",59 - Poland,2021,144072.83,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",59 - Poland,2022,144072.83,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",64 - Hungary,2022,15833701.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",80 - Chile,2010,18549952.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",88 - Costa Rica,2021,24878789.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",88 - Costa Rica,2022,24878789.0,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU",96 - Mexico,2022,474422.17,I,Interpolated
Remuneration of general practitioners,Salaried,general practitioners - Salaried,"annual income, NCU at 2015 GDP price level",20 - Netherlands,2022,102095.55,I,Interpolated
