Index,Country,Continent,Estimate,Year
1,Liechtenstein,Europe,"139,100",2009
2,Luxembourg,Europe,"115,700",2021
3,Monaco,Europe,"115,700",2015
4,Singapore,Asia,"106,000",2021
5,Ireland,Europe,"102,500",2021
6,Qatar,Asia,"92,200",2021
7,Isle of Man,Europe,"84,600",2014
8,Bermuda,Americas,"80,300",2021
9,Switzerland,Europe,"71,000",2021
10,Falkland Islands,Americas,"70,800",2015
11,United Arab Emirates,Asia,"69,700",2021
12,Cayman Islands,Americas,"67,500",2021
13,Norway,Europe,"65,700",2021
14,Macau,Asia,"64,800",2021
15,United States,Americas,"63,700",2021
16,Gibraltar,Europe,"61,700",2014
17,Brunei,Asia,"60,100",2021
18,Hong Kong,Asia,"60,000",2021
19,Denmark,Europe,"58,000",2021
20,Netherlands,Europe,"56,600",2021
21,Jersey,Europe,"56,600",2016
22,San Marino,Europe,"56,400",2020
23,Austria,Europe,"54,100",2021
24,Iceland,Europe,"53,600",2020
25,Sweden,Europe,"53,600",2021
26,Germany,Europe,"53,100",2021
27,Guernsey,Europe,"52,500",2014
28,Belgium,Europe,"51,700",2021
29,Taiwan,Asia,"50,500",2017
30,Andorra,Europe,"49,900",2015
31,Australia,Oceania,"49,800",2021
32,Bahrain,Asia,"49,400",2021
33,Finland,Europe,"48,800",2021
34,Canada,Americas,"47,900",2021
35,Saint Pierre and Miquelon,Americas,"46,200",2006
36,France,Europe,"45,000",2021
37,United Kingdom,Europe,"45,000",2021
38,Malta,Europe,"44,700",2021
39,European Union[n 1],Europe,"44,436",2019
40,Saudi Arabia,Asia,"44,300",2021
41,South Korea,Asia,"44,200",2021
42,Kuwait,Asia,"43,900",2020
43,New Zealand,Oceania,"42,900",2021
44,Israel,Asia,"42,100",2021
45,Italy,Europe,"41,900",2021
46,Greenland,Americas,"41,800",2015
47,Cyprus,Asia,"41,700",[n 2]2021
48,Japan,Asia,"40,800",2021
49,Czech Republic,Europe,"40,700",2020
50,Slovenia,Europe,"40,000",2021
51,Faroe Islands,Europe,"40,000",2014
52,Lithuania,Europe,"39,300",2021
53,Aruba,Americas,"38,900",2021
54,Estonia,Europe,"38,700",2021
55,Spain,Europe,"37,900",2021
56,U.S. Virgin Islands,Americas,"37,000",2016
57,Guam,Oceania,"35,600",2016
58,Sint Maarten (Dutch part),Americas,"35,300",2018
59,Poland,Europe,"34,900",2021
60,Oman,Asia,"34,300",2021
61,British Virgin Islands,Americas,"34,200",2017
62,Montserrat,Americas,"34,000",2011
63,Portugal,Europe,"33,700",2021
64,Hungary,Europe,"33,600",2021
65,Puerto Rico,Americas,"32,600",2021
66,Latvia,Europe,"32,100",2021
67,Slovakia,Europe,"31,900",2021
68,Croatia,Europe,"31,600",2021
69,Turkey,Asia,"31,500",2021
70,New Caledonia,Oceania,"31,100",2015
71,Romania,Europe,"30,800",2021
72,Bahamas,Americas,"30,200",2021
73,Greece,Europe,"29,500",2021
74,Panama,Americas,"29,000",2021
75,Seychelles,Africa,"28,800",2021
76,Russia,Europe,"28,000",2021
77,Saint Kitts and Nevis,Americas,"26,500",2021
78,Malaysia,Asia,"26,300",2021
79,Kazakhstan,Asia,"26,100",2021
80,Chile,Americas,"25,400",2021
81,Northern Mariana Islands,Oceania,"24,500",2016
82,Bulgaria,Europe,"24,400",2020
83,Trinidad and Tobago,Americas,"23,000",2021
84,Uruguay,Americas,"22,800",2021
85,Libya,Africa,"22,000",2021
86,Guyana,Americas,"21,900",2021
87,Argentina,Americas,"21,500",2021
88,Costa Rica,Americas,"21,200",2021
89,Mauritius,Africa,"21,000",2021
90,Curaçao,Americas,"20,800",2021
91,Montenegro,Europe,"20,600",2021
92,Serbia,Europe,"19,800",2021
93,Belarus,Europe,"19,800",2021
94,Saint Martin (French part),Americas,"19,300",2005
95,Antigua and Barbuda,Americas,"19,100",2021
96,Mexico,Americas,"19,100",2021
97,Maldives,Asia,"18,800",2021
98,Dominican Republic,Americas,"18,600",2021
99,Turks and Caicos Islands,Americas,"18,500",2021
100,China,Asia,"17,600",[n 3]2021
101,World,,"17,500",2017
102,Thailand,Asia,"17,100",2021
103,French Polynesia,Oceania,"17,000",2015
104,Cook Islands,Oceania,"16,700",2016
105,North Macedonia,Europe,"16,500",2021
106,Bosnia and Herzegovina,Europe,"15,700",2021
107,Georgia,Asia,"15,500",[n 5]2021
108,Turkmenistan,Asia,"15,000",2019
109,Botswana,Africa,"14,800",2021
110,Suriname,Americas,"14,800",2021
111,Colombia,Americas,"14,600",2021
112,Equatorial Guinea,Africa,"14,600",2021
113,Albania,Europe,"14,500",2021
114,Azerbaijan,Asia,"14,400",2021
115,Armenia,Asia,"14,200",2021
116,Brazil,Americas,"14,100",2020
117,Moldova,Europe,"14,000",[n 6]2021
118,Gabon,Africa,"13,800",2021
119,Barbados,Americas,"13,800",2021
120,Palau,Oceania,"13,800",2021
121,Grenada,Americas,"13,700",2021
122,Saint Vincent and the Grenadines,Americas,"13,700",2021
123,Paraguay,Americas,"13,700",2021
124,Sri Lanka,Asia,"13,400",2021
125,South Africa,Africa,"13,300",2021
126,Saint Lucia,Americas,"13,000",2021
127,Lebanon,Asia,"13,000",2021
128,Ukraine,Europe,"12,900",[n 7]2021
129,Peru,Americas,"12,500",2021
130,Iran,Asia,"12,400",2020
131,Cuba,Americas,"12,300",2016
132,Anguilla,Americas,"12,200",2008
133,Indonesia,Asia,"11,900",2021
134,Kosovo,Europe,"11,900",2021
135,Nauru,Oceania,"11,900",2021
136,Mongolia,Asia,"11,700",2021
137,Egypt,Africa,"11,600",2021
138,American Samoa,Oceania,"11,200",2016
139,Algeria,Africa,"11,000",2021
140,Bhutan,Asia,"10,900",2021
141,Dominica,Americas,"10,900",2021
142,Ecuador,Americas,"10,700",2021
143,Vietnam,Asia,"10,600",2021
144,Fiji,Oceania,"10,400",2021
145,Tunisia,Africa,"10,400",2021
146,Jamaica,Americas,"9,600",2021
147,Jordan,Asia,"9,200",2021
148,El Salvador,Americas,"9,100",2021
149,Namibia,Africa,"9,100",2021
150,Iraq,Asia,"9,000",2021
151,Eswatini,Africa,"8,900",2021
152,Guatemala,Americas,"8,900",2021
153,Belize,Americas,"8,800",2021
154,Philippines,Asia,"8,100",2021
155,Morocco,Africa,"8,100",[n 8]2021
156,Bolivia,Americas,"8,100",2021
157,Laos,Asia,"7,800",2021
