VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2010,2010,83705,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2011,2011,89235,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2012,2012,89971,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2013,2013,91232,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2014,2014,93042,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2015,2015,94991,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2016,2016,96928,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2017,2017,101081,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2018,2018,105685,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2019,2019,111584,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALARMT,"Salaried, annual income, NCU",AUS,Australia,2020,2020,111102,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2010,2010,85256.16,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2011,2011,89287.56,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2012,2012,90162.49,D,Difference in methodology
RVNURINF,Remuneration of hospital nurses,YSALPIMT,"Salaried, annual income, NCU at 2015 GDP price level",AUS,Australia,2013,2013,90140.94,D,Difference in methodology
